symbol	tumorsuppressor	oncogene
CHD5	TRUE	FALSE
CHEK1	FALSE	FALSE
CHEK2	TRUE	FALSE
CHIC2	FALSE	FALSE
CHST11	FALSE	TRUE
CIC	FALSE	FALSE
CIITA	TRUE	FALSE
CKS1B	FALSE	FALSE
CLIP1	FALSE	FALSE
CLP1	FALSE	FALSE
CLTC	TRUE	FALSE
CLTCL1	TRUE	FALSE
CNBD1	FALSE	FALSE
CNBP	TRUE	FALSE
CNOT3	TRUE	FALSE
CNTNAP2	TRUE	FALSE
CNTRL	FALSE	FALSE
COL1A1	FALSE	FALSE
COL2A1	FALSE	FALSE
COL3A1	FALSE	FALSE
COL7A1	FALSE	FALSE
COX6C	FALSE	FALSE
CPEB3	TRUE	FALSE
CRBN	FALSE	FALSE
CREB1	FALSE	TRUE
CREB3L1	TRUE	FALSE
CREB3L2	FALSE	TRUE
CREBBP	FALSE	FALSE
CRKL	FALSE	TRUE
CRLF2	FALSE	TRUE
CRNDE	FALSE	TRUE
CRNKL1	FALSE	FALSE
CRTC1	FALSE	TRUE
CRTC3	FALSE	FALSE
CSDE1	FALSE	FALSE
CSF1R	FALSE	TRUE
CSF3R	FALSE	TRUE
CSMD3	TRUE	FALSE
CTCF	TRUE	TRUE
CTLA4	FALSE	FALSE
CTNNA1	FALSE	FALSE
CTNNA2	FALSE	TRUE
CTNNB1	FALSE	TRUE
CTNND1	FALSE	FALSE
CTNND2	FALSE	TRUE
CTR9	FALSE	FALSE
CTRC	FALSE	FALSE
CUL3	TRUE	FALSE
CUX1	FALSE	FALSE
CXCR4	FALSE	TRUE
CYLD	TRUE	FALSE
CYP2C8	FALSE	FALSE
CYP2D6	FALSE	FALSE
CYR61	TRUE	FALSE
CYSLTR2	FALSE	TRUE
DAB2	TRUE	FALSE
DAPK1	TRUE	TRUE
DAXX	FALSE	FALSE
DCAF12L2	FALSE	FALSE
DCC	TRUE	FALSE
DCTN1	FALSE	FALSE
DCUN1D1	FALSE	FALSE
DDB2	FALSE	FALSE
DDIT3	FALSE	TRUE
DDR2	FALSE	TRUE
DDX10	TRUE	FALSE
DDX3X	TRUE	TRUE
DDX5	FALSE	TRUE
DDX6	FALSE	TRUE
DEK	FALSE	TRUE
DGCR8	FALSE	TRUE
DICER1	TRUE	FALSE
DIRAS3	TRUE	FALSE
DIS3	FALSE	FALSE
DIS3L2	FALSE	FALSE
DKC1	FALSE	FALSE
DLC1	TRUE	FALSE
DNAJB1	FALSE	FALSE
DNM2	TRUE	FALSE
DNMT1	FALSE	TRUE
DNMT3A	TRUE	FALSE
DNMT3B	FALSE	FALSE
DOCK8	FALSE	FALSE
DOT1L	FALSE	FALSE
DPYD	FALSE	FALSE
DROSHA	TRUE	FALSE
DTX1	FALSE	FALSE
DTX3L	FALSE	FALSE
DUSP22	FALSE	FALSE
DUSP4	FALSE	FALSE
DUX4L1	FALSE	FALSE
E2F3	FALSE	FALSE
EBF1	TRUE	FALSE
ECT2L	FALSE	FALSE
EED	TRUE	FALSE
EGF	FALSE	TRUE
EGFL7	FALSE	FALSE
EGFR	FALSE	TRUE
EGR1	TRUE	TRUE
EIF1AX	FALSE	FALSE
EIF3E	TRUE	FALSE
EIF4A2	FALSE	FALSE
EIF4E	FALSE	FALSE
ELANE	FALSE	FALSE
ELF3	TRUE	FALSE
ELF4	FALSE	FALSE
ELK4	FALSE	TRUE
ELL	TRUE	FALSE
ELN	FALSE	FALSE
ELOC	FALSE	FALSE
EML4	FALSE	FALSE
EMP3	TRUE	FALSE
EMSY	FALSE	FALSE
ENG	FALSE	FALSE
EP300	TRUE	FALSE
EP400	FALSE	FALSE
EPAS1	FALSE	FALSE
EPCAM	FALSE	FALSE
EPHA2	FALSE	TRUE
EPHA3	FALSE	FALSE
EPHA5	FALSE	FALSE
EPHA7	FALSE	FALSE
EPHB1	FALSE	FALSE
EPHB2	TRUE	FALSE
EPOR	FALSE	FALSE
EPS15	TRUE	FALSE
ERBB2	TRUE	TRUE
ERBB3	FALSE	TRUE
ERBB4	TRUE	TRUE
ERC1	FALSE	FALSE
ERCC1	FALSE	FALSE
ERCC2	TRUE	FALSE
ERCC3	TRUE	FALSE
ERCC4	TRUE	FALSE
ERCC5	TRUE	FALSE
ERF	FALSE	FALSE
ERG	FALSE	TRUE
ERRFI1	FALSE	FALSE
ESCO2	FALSE	FALSE
ESR1	TRUE	FALSE
ETNK1	TRUE	FALSE
ETS1	FALSE	TRUE
ETV1	FALSE	TRUE
ETV4	FALSE	TRUE
ETV5	FALSE	TRUE
ETV6	TRUE	TRUE
EWSR1	FALSE	TRUE
EXT1	TRUE	FALSE
EXT2	TRUE	FALSE
EZH1	FALSE	FALSE
EZH2	FALSE	TRUE
EZR	FALSE	FALSE
FAH	FALSE	FALSE
FAM131B	FALSE	FALSE
FAM135B	FALSE	FALSE
FAM175A	FALSE	FALSE
FAM46C	TRUE	FALSE
FAM47C	FALSE	FALSE
FAM58A	FALSE	FALSE
FANCA	TRUE	FALSE
FANCB	FALSE	FALSE
FANCC	TRUE	FALSE
FANCD2	TRUE	FALSE
FANCE	TRUE	FALSE
FANCF	TRUE	FALSE
FANCG	TRUE	FALSE
FANCI	FALSE	FALSE
FANCL	FALSE	FALSE
FANCM	FALSE	FALSE
FAS	TRUE	FALSE
FASN	FALSE	TRUE
FAT1	TRUE	FALSE
FAT3	FALSE	FALSE
FAT4	TRUE	FALSE
FBLN2	TRUE	FALSE
FBXO11	TRUE	FALSE
FBXW7	TRUE	FALSE
FCGR2B	FALSE	TRUE
FCRL4	FALSE	TRUE
FEN1	TRUE	FALSE
FES	FALSE	FALSE
FEV	FALSE	TRUE
FGF1	FALSE	FALSE
FGF10	FALSE	FALSE
FGF14	FALSE	FALSE
FGF19	FALSE	TRUE
FGF2	FALSE	FALSE
FGF23	FALSE	FALSE
FGF3	FALSE	FALSE
FGF4	FALSE	FALSE
FGF5	FALSE	FALSE
FGF6	FALSE	FALSE
FGF7	FALSE	FALSE
FGF8	FALSE	FALSE
FGF9	FALSE	FALSE
FGFR1	FALSE	TRUE
FGFR1OP	FALSE	FALSE
FGFR2	FALSE	TRUE
FGFR3	FALSE	TRUE
FGFR4	FALSE	TRUE
FH	TRUE	FALSE
FHIT	TRUE	TRUE
FIP1L1	FALSE	FALSE
FKBP9	FALSE	FALSE
FLCN	TRUE	FALSE
FLG	FALSE	FALSE
FLI1	FALSE	TRUE
FLNA	FALSE	FALSE
FLT1	FALSE	FALSE
FLT3	FALSE	TRUE
FLT4	FALSE	TRUE
FNBP1	FALSE	FALSE
FOS	FALSE	TRUE
FOXA1	FALSE	TRUE
FOXA2	FALSE	FALSE
FOXL2	FALSE	FALSE
FOXM1	FALSE	TRUE
FOXO1	TRUE	TRUE
FOXO3	TRUE	FALSE
FOXO4	FALSE	FALSE
FOXP1	TRUE	TRUE
FOXP3	TRUE	TRUE
FOXQ1	FALSE	FALSE
FOXR1	FALSE	TRUE
FRS2	FALSE	FALSE
FSTL3	FALSE	TRUE
FTO	FALSE	TRUE
FUBP1	FALSE	TRUE
FURIN	FALSE	FALSE
FUS	TRUE	TRUE
FYN	FALSE	FALSE
GAB2	FALSE	TRUE
GABRA6	FALSE	FALSE
GALNT12	FALSE	FALSE
GAS7	FALSE	FALSE
GATA1	FALSE	FALSE
GATA2	FALSE	TRUE
GATA3	TRUE	FALSE
GATA4	FALSE	FALSE
GATA6	FALSE	FALSE
GBA	FALSE	FALSE
GEN1	FALSE	FALSE
GID4	FALSE	FALSE
GJB2	FALSE	FALSE
GKN1	TRUE	TRUE
GLI1	FALSE	TRUE
GMPS	FALSE	FALSE
GNA11	FALSE	TRUE
GNA12	FALSE	FALSE
GNA13	FALSE	FALSE
GNAQ	FALSE	TRUE
GNAS	FALSE	TRUE
GNB1	FALSE	FALSE
GNMT	TRUE	FALSE
GOLGA5	FALSE	FALSE
GOPC	FALSE	FALSE
GPC3	FALSE	FALSE
GPC5	TRUE	FALSE
GPHN	FALSE	FALSE
GPRC5A	TRUE	FALSE
GPS2	FALSE	FALSE
GREM1	FALSE	FALSE
GRIN2A	TRUE	FALSE
GRM3	FALSE	TRUE
GSK3B	FALSE	FALSE
GSTP1	TRUE	FALSE
GTF2I	FALSE	FALSE
H3F3A	FALSE	TRUE
H3F3B	FALSE	TRUE
H3F3C	FALSE	FALSE
HABP2	FALSE	FALSE
HDAC1	FALSE	FALSE
HDAC4	FALSE	FALSE
HDAC7	FALSE	FALSE
HERPUD1	FALSE	FALSE
HEY1	FALSE	TRUE
HFE	FALSE	FALSE
HGF	FALSE	TRUE
HIF1A	FALSE	TRUE
HIP1	FALSE	TRUE
HIST1H1B	FALSE	FALSE
HIST1H1C	FALSE	FALSE
HIST1H1D	FALSE	FALSE
HIST1H1E	FALSE	FALSE
HIST1H2AC	FALSE	FALSE
HIST1H2AG	FALSE	FALSE
HIST1H2AL	FALSE	FALSE
HIST1H2AM	FALSE	FALSE
HIST1H2BC	FALSE	FALSE
HIST1H2BD	FALSE	FALSE
HIST1H2BG	FALSE	FALSE
HIST1H2BJ	FALSE	FALSE
HIST1H2BK	FALSE	FALSE
HIST1H2BO	FALSE	FALSE
HIST1H3A	FALSE	FALSE
HIST1H3B	FALSE	TRUE
HIST1H3C	FALSE	FALSE
HIST1H3D	FALSE	FALSE
HIST1H3E	FALSE	FALSE
HIST1H3F	FALSE	FALSE
HIST1H3G	FALSE	FALSE
HIST1H3H	FALSE	FALSE
HIST1H3I	FALSE	FALSE
HIST1H3J	FALSE	FALSE
HIST1H4I	FALSE	FALSE
HIST2H3A	FALSE	FALSE
HIST2H3C	FALSE	FALSE
HIST2H3D	FALSE	FALSE
HIST3H3	FALSE	FALSE
HLA-A	FALSE	FALSE
HLA-B	FALSE	FALSE
HLA-C	FALSE	FALSE
HLF	FALSE	TRUE
HMBS	FALSE	FALSE
HMGA1	FALSE	TRUE
HMGA2	FALSE	TRUE
HNF1A	TRUE	FALSE
HNF1B	FALSE	FALSE
HNRNPA2B1	FALSE	TRUE
HOOK3	FALSE	FALSE
HOXA11	FALSE	FALSE
HOXA13	FALSE	TRUE
HOXA9	FALSE	TRUE
HOXB13	FALSE	FALSE
HOXC11	FALSE	TRUE
HOXC13	FALSE	TRUE
HOXD11	FALSE	TRUE
HOXD13	FALSE	TRUE
HPGD	TRUE	FALSE
HRAS	FALSE	TRUE
HSD3B1	FALSE	FALSE
HSP90AA1	FALSE	FALSE
HSP90AB1	FALSE	FALSE
ICOSLG	FALSE	FALSE
ID3	TRUE	FALSE
ID4	TRUE	TRUE
IDH1	FALSE	TRUE
IDH2	FALSE	TRUE
IFNGR1	FALSE	FALSE
IGF1	FALSE	FALSE
IGF1R	FALSE	FALSE
IGF2	FALSE	FALSE
IGF2BP2	TRUE	FALSE
IGFBP2	FALSE	TRUE
IGFBP7	TRUE	FALSE
IGH	FALSE	FALSE
IGK	FALSE	FALSE
IGL	FALSE	FALSE
IKBKB	FALSE	TRUE
IKBKE	FALSE	FALSE
IKZF1	TRUE	TRUE
IKZF3	FALSE	FALSE
IL10	FALSE	FALSE
IL2	FALSE	FALSE
IL21R	FALSE	FALSE
IL2RA	FALSE	FALSE
IL6	FALSE	TRUE
IL6R	FALSE	FALSE
IL6ST	FALSE	TRUE
IL7R	FALSE	TRUE
INHA	FALSE	FALSE
INHBA	FALSE	FALSE
INPP4A	FALSE	FALSE
INPP4B	TRUE	TRUE
INPPL1	FALSE	FALSE
INSR	FALSE	FALSE
IRF1	FALSE	FALSE
IRF2	FALSE	FALSE
IRF4	FALSE	TRUE
IRF8	FALSE	FALSE
IRS1	FALSE	FALSE
IRS2	FALSE	FALSE
IRS4	FALSE	FALSE
ISX	FALSE	FALSE
ITGAV	FALSE	FALSE
ITK	FALSE	FALSE
JAK1	FALSE	FALSE
JAK2	FALSE	TRUE
JAK3	FALSE	TRUE
JARID2	FALSE	FALSE
JAZF1	FALSE	FALSE
JMJD1C	FALSE	FALSE
JUN	FALSE	TRUE
KAT6A	FALSE	TRUE
KAT6B	TRUE	FALSE
KAT7	FALSE	TRUE
KCNJ5	FALSE	TRUE
KDM5A	FALSE	TRUE
KDM5C	TRUE	FALSE
KDM6A	FALSE	FALSE
KDR	FALSE	TRUE
KDSR	FALSE	FALSE
KEAP1	TRUE	FALSE
KEL	FALSE	FALSE
KIAA1549	FALSE	FALSE
KIAA1598	FALSE	FALSE
KIF14	FALSE	TRUE
KIF1B	FALSE	FALSE
KIF5B	FALSE	FALSE
KISS1	TRUE	FALSE
KIT	FALSE	TRUE
KL	TRUE	FALSE
KLF4	TRUE	TRUE
KLF5	TRUE	TRUE
KLF6	TRUE	FALSE
KLHL6	FALSE	FALSE
KLK2	FALSE	FALSE
KLLN	FALSE	FALSE
KMT2A	FALSE	TRUE
KMT2B	FALSE	FALSE
KMT2C	TRUE	FALSE
KMT2D	FALSE	FALSE
KMT5A	FALSE	FALSE
KNL1	TRUE	FALSE
KNSTRN	FALSE	TRUE
KRAS	TRUE	TRUE
KSR2	FALSE	FALSE
KTN1	FALSE	FALSE
LAMP1	FALSE	FALSE
LARP4B	TRUE	FALSE
LASP1	FALSE	FALSE
LATS1	TRUE	FALSE
LATS2	TRUE	FALSE
LCK	FALSE	TRUE
LCP1	FALSE	FALSE
LEF1	FALSE	FALSE
LEPROTL1	TRUE	FALSE
LHFP	FALSE	FALSE
LHFPL6	FALSE	FALSE
LIFR	FALSE	FALSE
LIN28B	FALSE	TRUE
LMNA	FALSE	FALSE
LMO1	FALSE	TRUE
LMO2	FALSE	TRUE
LOX	TRUE	TRUE
LPP	FALSE	TRUE
LRIG3	TRUE	FALSE
LRP1B	TRUE	FALSE
LRRC4	TRUE	FALSE
LRRK2	FALSE	FALSE
LSM14A	FALSE	FALSE
LTB	FALSE	FALSE
LYL1	FALSE	TRUE
LYN	FALSE	FALSE
LZTR1	TRUE	FALSE
MACC1	FALSE	TRUE
MAF	FALSE	TRUE
MAFB	FALSE	TRUE
MAGI2	FALSE	FALSE
MALAT1	FALSE	FALSE
MALT1	FALSE	TRUE
MAML2	FALSE	TRUE
MAP2K1	FALSE	TRUE
MAP2K2	FALSE	TRUE
MAP2K4	FALSE	FALSE
MAP3K1	FALSE	FALSE
MAP3K13	FALSE	FALSE
MAP3K14	FALSE	FALSE
MAP3K6	FALSE	FALSE
MAP3K7	FALSE	FALSE
MAPK1	FALSE	TRUE
MAPK3	FALSE	FALSE
MAPKAP1	FALSE	FALSE
MARK2	FALSE	TRUE
MAX	TRUE	FALSE
MB21D2	FALSE	FALSE
MCC	TRUE	FALSE
MCL1	FALSE	FALSE
MDC1	FALSE	FALSE
MDM2	FALSE	TRUE
MDM4	FALSE	TRUE
MDS2	FALSE	FALSE
MECOM	FALSE	TRUE
MED12	TRUE	FALSE
MEF2B	FALSE	FALSE
MEIS1	FALSE	TRUE
MEN1	TRUE	TRUE
MET	FALSE	TRUE
MGA	FALSE	FALSE
MGAM	FALSE	FALSE
MGMT	TRUE	FALSE
MIB1	FALSE	FALSE
MITF	FALSE	TRUE
MKI67	FALSE	FALSE
MKL1	FALSE	FALSE
MLF1	TRUE	FALSE
MLH1	TRUE	FALSE
MLH3	FALSE	FALSE
MLLT1	FALSE	FALSE
MLLT10	FALSE	TRUE
MLLT11	FALSE	TRUE
MLLT3	FALSE	TRUE
MLLT4	FALSE	FALSE
MLLT6	FALSE	FALSE
MN1	FALSE	TRUE
MNX1	FALSE	TRUE
MOB3B	FALSE	FALSE
MPEG1	FALSE	FALSE
MPL	FALSE	TRUE
MRE11	FALSE	FALSE
MRE11A	FALSE	FALSE
MS4A1	FALSE	FALSE
MSH2	TRUE	FALSE
MSH3	FALSE	FALSE
MSH6	TRUE	FALSE
MSI1	FALSE	FALSE
MSI2	FALSE	TRUE
MSN	FALSE	FALSE
MST1	FALSE	FALSE
MST1R	FALSE	TRUE
MTAP	FALSE	FALSE
MTCP1	FALSE	TRUE
MTDH	FALSE	TRUE
MTOR	FALSE	TRUE
MTSS1	TRUE	FALSE
MUC1	FALSE	TRUE
MUC16	FALSE	TRUE
MUC4	FALSE	TRUE
MUTYH	TRUE	FALSE
MYB	FALSE	TRUE
MYC	FALSE	TRUE
MYCL	FALSE	TRUE
MYCN	TRUE	TRUE
MYD88	FALSE	TRUE
MYH11	FALSE	FALSE
MYH9	TRUE	FALSE
MYO18B	TRUE	FALSE
MYO5A	FALSE	FALSE
MYOD1	FALSE	TRUE
N4BP2	TRUE	FALSE
NAB2	TRUE	FALSE
NACA	FALSE	FALSE
NAV3	FALSE	FALSE
NBEA	FALSE	FALSE
NBN	TRUE	FALSE
NCKIPSD	FALSE	FALSE
NCOA1	FALSE	FALSE
NCOA2	FALSE	TRUE
NCOA3	FALSE	TRUE
NCOA4	TRUE	FALSE
NCOR1	TRUE	FALSE
NCOR2	TRUE	FALSE
NCSTN	FALSE	FALSE
NDRG1	TRUE	FALSE
NDRG2	TRUE	FALSE
NEGR1	FALSE	FALSE
NEK1	FALSE	FALSE
NF1	TRUE	FALSE
NF2	TRUE	FALSE
NFATC2	FALSE	TRUE
NFE2	FALSE	FALSE
NFE2L2	FALSE	FALSE
NFE2L3	FALSE	FALSE
NFIB	FALSE	TRUE
NFKB1	FALSE	TRUE
NFKB2	FALSE	FALSE
NFKBIA	FALSE	FALSE
NFKBIE	TRUE	FALSE
NHP2	FALSE	FALSE
NIN	FALSE	FALSE
NKX2-1	FALSE	TRUE
NKX3-1	FALSE	FALSE
NONO	FALSE	FALSE
NOP10	FALSE	FALSE
NOTCH1	TRUE	TRUE
NOTCH2	TRUE	TRUE
NOTCH3	FALSE	FALSE
NOTCH4	FALSE	FALSE
NPM1	FALSE	TRUE
NR0B2	TRUE	FALSE
NR4A3	TRUE	TRUE
NRAS	FALSE	TRUE
NRG1	TRUE	FALSE
NSD1	FALSE	FALSE
NSD2	FALSE	TRUE
NSD3	FALSE	TRUE
NT5C2	FALSE	TRUE
NTHL1	TRUE	FALSE
NTRK1	FALSE	TRUE
NTRK2	FALSE	FALSE
NTRK3	FALSE	TRUE
NUF2	FALSE	FALSE
NUMA1	FALSE	FALSE
NUP214	FALSE	FALSE
NUP93	FALSE	FALSE
NUP98	FALSE	TRUE
NUTM1	FALSE	TRUE
NUTM2A	FALSE	FALSE
NUTM2B	FALSE	FALSE
OGG1	FALSE	FALSE
OLIG2	FALSE	TRUE
OMD	FALSE	FALSE
OTX2	FALSE	TRUE
P2RY8	FALSE	TRUE
PABPC1	FALSE	FALSE
PAFAH1B2	FALSE	FALSE
PAK1	FALSE	FALSE
PAK3	FALSE	FALSE
PAK5	FALSE	FALSE
PAK7	FALSE	FALSE
PALB2	TRUE	FALSE
PARK2	FALSE	FALSE
PARK7	FALSE	TRUE
PARP1	FALSE	FALSE
PATZ1	TRUE	FALSE
PAWR	TRUE	TRUE
PAX3	FALSE	TRUE
PAX5	TRUE	TRUE
PAX6	TRUE	FALSE
PAX7	FALSE	FALSE
PAX8	FALSE	FALSE
PBRM1	TRUE	FALSE
PBX1	FALSE	TRUE
PCBP1	FALSE	FALSE
PCLO	FALSE	FALSE
PCM1	FALSE	FALSE
PDCD1	FALSE	FALSE
PDCD1LG2	FALSE	TRUE
PDCD4	TRUE	TRUE
PDE4DIP	FALSE	FALSE
PDGFB	FALSE	TRUE
PDGFRA	FALSE	TRUE
PDGFRB	FALSE	TRUE
PDK1	FALSE	FALSE
PDLIM7	FALSE	TRUE
PDPK1	FALSE	FALSE
PDS5B	FALSE	FALSE
PDX1	TRUE	TRUE
PER1	TRUE	FALSE
PGR	FALSE	FALSE
PHF1	FALSE	FALSE
PHF6	TRUE	FALSE
PHOX2B	TRUE	FALSE
PI3	FALSE	TRUE
PICALM	FALSE	FALSE
PIGA	FALSE	FALSE
PIK3C2B	FALSE	FALSE
PIK3C2G	FALSE	FALSE
PIK3C3	FALSE	FALSE
PIK3CA	FALSE	TRUE
PIK3CB	FALSE	TRUE
PIK3CD	FALSE	FALSE
PIK3CG	FALSE	FALSE
PIK3R1	TRUE	FALSE
PIK3R2	FALSE	FALSE
PIK3R3	FALSE	FALSE
PIM1	FALSE	TRUE
PINK1	FALSE	FALSE
PLAG1	FALSE	TRUE
PLAGL2	FALSE	TRUE
PLCG1	FALSE	TRUE
PLCG2	FALSE	FALSE
PLK2	FALSE	FALSE
PLXNB1	TRUE	TRUE
PMAIP1	FALSE	FALSE
PML	TRUE	TRUE
PMS1	FALSE	FALSE
PMS2	TRUE	FALSE
PNRC1	FALSE	FALSE
POLD1	TRUE	FALSE
POLE	TRUE	FALSE
POLG	TRUE	FALSE
POLH	FALSE	FALSE
POLQ	FALSE	FALSE
POT1	TRUE	FALSE
POU2AF1	FALSE	TRUE
POU2F2	FALSE	FALSE
POU3F2	FALSE	TRUE
POU5F1	FALSE	TRUE
PPARG	TRUE	FALSE
PPFIBP1	FALSE	FALSE
PPM1D	FALSE	TRUE
PPP2R1A	TRUE	FALSE
PPP2R2A	FALSE	FALSE
PPP4R2	FALSE	FALSE
PPP6C	TRUE	FALSE
PRCC	FALSE	FALSE
PRDM1	TRUE	FALSE
PRDM14	FALSE	FALSE
PRDM16	FALSE	TRUE
PRDM2	TRUE	FALSE
PRDM9	FALSE	FALSE
PREX2	FALSE	TRUE
PRF1	TRUE	FALSE
PRKACA	FALSE	TRUE
PRKAR1A	FALSE	FALSE
PRKCB	FALSE	FALSE
PRKCI	FALSE	FALSE
PRKD1	FALSE	FALSE
PRKDC	FALSE	FALSE
PRKN	FALSE	FALSE
PRPF40B	FALSE	FALSE
PRR11	FALSE	TRUE
PRRX1	FALSE	FALSE
PRSS1	FALSE	FALSE
PRSS8	FALSE	FALSE
PSIP1	FALSE	TRUE
PTCH1	TRUE	TRUE
PTEN	TRUE	TRUE
PTGDR	FALSE	TRUE
PTGS2	FALSE	TRUE
PTK6	FALSE	FALSE
